t ax ay az wx wy wz
1.5200 10.9626422 9.5594814 0.2954267 1.1643625 -0.2117201 -1.1761739
1.5400 10.2692617 9.5580229 0.2642447 1.1833742 -0.2129272 -1.1988280
1.5600 9.5811250 9.5555497 0.2326054 1.2020553 -0.2140835 -1.2214681
1.5800 8.8989330 9.5521568 0.2009136 1.2203728 -0.2151936 -1.2440781
1.6000 8.2247357 9.5477313 0.1688814 1.2382935 -0.2162628 -1.2666417
1.6200 7.5594256 9.5423365 0.1368267 1.2557839 -0.2172963 -1.2891421
1.6400 6.9042373 9.5359756 0.1047493 1.2728101 -0.2182997 -1.3115619
1.6600 6.2608120 9.5285926 0.0725509 1.2893383 -0.2192784 -1.3338834
1.6800 5.6294225 9.5203335 0.0407463 1.3053347 -0.2202384 -1.3560885
1.7000 5.0120556 9.5110774 0.0088881 1.3207652 -0.2211856 -1.3781588
1.7200 4.4091637 9.5009387 -0.0225669 1.3355963 -0.2221261 -1.4000753
1.7400 3.8221667 9.4898770 -0.0537684 1.3497942 -0.2230660 -1.4218190
1.7600 3.2517809 9.4779470 -0.0846800 1.3633257 -0.2240116 -1.4433703
1.7800 2.6985286 9.4652435 -0.1148471 1.3761578 -0.2249692 -1.4647094
1.8000 2.1638804 9.4516950 -0.1447161 1.3882579 -0.2259453 -1.4858164
1.8200 1.6488425 9.4373114 -0.1741730 1.3995941 -0.2269463 -1.5066708
1.8400 1.1527924 9.4223255 -0.2026296 1.4101349 -0.2279786 -1.5272523
1.8600 0.6780047 9.4065367 -0.2308511 1.4198495 -0.2290486 -1.5475401
1.8800 0.2234871 9.3902309 -0.2578926 1.4287078 -0.2301630 -1.5675135
1.9000 -0.2082827 9.3731645 -0.2847127 1.4366806 -0.2313279 -1.5871514
1.9200 -0.6189715 9.3557021 -0.3102330 1.4437395 -0.2325499 -1.6064329
1.9400 -1.0067637 9.3376821 -0.3351989 1.4498570 -0.2338353 -1.6253368
1.9600 -1.3716331 9.3192176 -0.3591669 1.4550069 -0.2351901 -1.6438420
1.9800 -1.7134385 9.3003724 -0.3822648 1.4591638 -0.2366207 -1.6619273
2.0000 -2.0316955 9.2811677 -0.4045235 1.4623037 -0.2381330 -1.6795718
2.0200 -2.3267064 9.2617312 -0.4256348 1.4644035 -0.2397328 -1.6967543
2.0400 -2.5976877 9.2420197 -0.4459451 1.4654418 -0.2414259 -1.7134539
2.0600 -2.8457960 9.2222645 -0.4648716 1.4653982 -0.2432179 -1.7296499
2.0800 -3.0690489 9.2022375 -0.4833271 1.4642539 -0.2451141 -1.7453217
2.1000 -3.2698235 9.1823287 -0.5002131 1.4619917 -0.2471199 -1.7604489
2.1200 -3.4463592 9.1623241 -0.5164418 1.4585956 -0.2492401 -1.7750114
2.1400 -3.6000309 9.1424600 -0.5313106 1.4540513 -0.2514795 -1.7889893
2.1600 -3.7305540 9.1227067 -0.5452928 1.4483462 -0.2538427 -1.8023631
2.1800 -3.8385219 9.1031748 -0.5580561 1.4414693 -0.2563341 -1.8151136
2.2000 -3.9238235 9.0838512 -0.5699024 1.4334112 -0.2589576 -1.8272221
2.2200 -3.9872983 9.0648545 -0.5806175 1.4241645 -0.2617172 -1.8386703
2.2400 -4.0292316 9.0462209 -0.5902041 1.4137232 -0.2646162 -1.8494403
